epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,ece,tau,seed,final_lambda
0.3706666666666667,0.6318888888888889,0.4882166666666668,0.1948529411764706,0.8051470588235294,0.4167893961708395,0.7544444444444445,0.37503516769020717,0.3,24,0.9456505408653847
0.44866666666666666,0.6351111111111112,0.5325666666666667,0.17424242424242425,0.8257575757575758,0.3641703377386197,0.7566666666666667,0.3283200718944703,0.3,25,0.8237409855769219
0.5082222222222222,0.5842222222222222,0.5424222222222223,0.10588235294117647,0.8941176470588236,0.337442218798151,0.7211111111111111,0.28449181207734475,0.3,26,0.8037980769230767
0.45488888888888895,0.6236666666666666,0.530838888888889,0.04700854700854701,0.9529914529914529,0.36350148367952523,0.7488888888888889,0.33113262548094635,0.3,27,0.8186748798076933
0.4897777777777777,0.605111111111111,0.5416777777777778,0.0975609756097561,0.9024390243902439,0.34441087613293053,0.7355555555555555,0.30133088014209797,0.3,28,0.9124549278846138
0.4311111111111111,0.6533333333333333,0.5311111111111112,0.20912547528517111,0.7908745247148289,0.3699421965317919,0.7688888888888888,0.33425106662788023,0.3,29,0.9635186298076912
0.4102222222222222,0.6254444444444445,0.5070722222222223,0.14007782101167315,0.8599221789883269,0.3925925925925926,0.75,0.3576231120401788,0.4,0,0.8911808894230746
0.45688888888888896,0.5565555555555556,0.501738888888889,0.13356164383561644,0.8664383561643836,0.38388625592417064,0.7033333333333334,0.3411073947237877,0.4,1,1.0298227163461549
0.3237777777777778,0.7286666666666666,0.5059777777777777,0.4139194139194139,0.5860805860805861,0.412483039348711,0.8188888888888889,0.35621187594017417,0.4,2,0.9056234975961568
0.47311111111111104,0.5945555555555556,0.5277611111111111,0.11406844106463879,0.8859315589353612,0.3597560975609756,0.7288888888888889,0.3152090452108754,0.4,3,0.9538912259615362
0.41400000000000003,0.6118888888888889,0.50305,0.16216216216216217,0.8378378378378378,0.3933933933933934,0.74,0.3408908355251395,0.4,4,0.9681520432692291
0.462,0.5845555555555556,0.51715,0.11152416356877323,0.8884758364312267,0.3707692307692308,0.7222222222222222,0.32467771837974313,0.4,5,1.0598858173076922
0.41044444444444445,0.6181111111111111,0.5038944444444445,0.1422924901185771,0.857707509881423,0.3940298507462687,0.7444444444444445,0.34271841101209893,0.4,6,0.9484705528846172
0.42511111111111105,0.584111111111111,0.49666111111111116,0.08646616541353383,0.9135338345864662,0.39692307692307693,0.7222222222222222,0.3554054426554642,0.4,7,0.9178936298076933
0.4842222222222222,0.5823333333333334,0.5283722222222221,0.12830188679245283,0.8716981132075472,0.3549382716049383,0.72,0.3072183226848745,0.4,8,0.9503725961538497
0.42377777777777775,0.6336666666666666,0.5182277777777778,0.20220588235294118,0.7977941176470589,0.38088235294117645,0.7555555555555555,0.33755476223078956,0.4,9,0.8957181490384638
0.42844444444444446,0.6080000000000001,0.5092444444444445,0.18840579710144928,0.8115942028985508,0.3855421686746988,0.7377777777777778,0.33641352772640243,0.4,10,0.967558593750001
0.5868888888888889,0.531,0.5617388888888889,0.06130268199233716,0.9386973180076629,0.29545454545454547,0.6844444444444444,0.24960243055478842,0.4,11,0.9086523437499986
0.47377777777777774,0.5670000000000001,0.5157277777777779,0.07604562737642585,0.9239543726235742,0.3677621283255086,0.71,0.3207069159897339,0.4,12,0.8211087740384583
0.4804444444444444,0.5608888888888889,0.5166444444444445,0.09219858156028368,0.9078014184397163,0.3663522012578616,0.7066666666666667,0.32680545356849366,0.4,13,0.7527914663461562
0.49444444444444446,0.5983333333333334,0.5411944444444445,0.13026819923371646,0.8697318007662835,0.3434650455927052,0.7311111111111112,0.30050492745160334,0.4,14,0.9319290865384624
0.5148888888888888,0.5053333333333333,0.510588888888889,0.06338028169014084,0.9366197183098591,0.3577371048252912,0.6677777777777778,0.30656685898986835,0.4,15,0.7843795072115408
0.5048888888888888,0.5758888888888888,0.536838888888889,0.08178438661710037,0.9182156133828996,0.34418604651162793,0.7166666666666667,0.3059934834438388,0.4,16,0.8147761418269254
0.4382222222222222,0.5953333333333333,0.5089222222222223,0.16605166051660517,0.8339483394833949,0.3826219512195122,0.7288888888888889,0.3291244860041195,0.4,17,1.0079146634615421
0.4417777777777778,0.6352222222222222,0.5288277777777778,0.20512820512820512,0.7948717948717948,0.368575624082232,0.7566666666666667,0.3246809116245841,0.4,18,0.9420522836538489
